model,MAE,RMSE,MAPE,R2
Naive Baseline,0.3928181648782522,1.3038261789829853,3.7464107850188104,0.7638303581024882
Moving Average,0.4002403215590873,0.9321108444618784,3.5531716781084093,0.8792965179211517
Linear Regression,0.2247424392205347,0.6677491247015723,1.9500889708898441,0.9380542761299769
Random Forest,0.3010984665883201,0.9392347912425523,3.1531473005988744,0.8774444395818467
Gradient Boosting,0.2887750044807623,0.9356667131114247,3.0647276521999802,0.878373828501983
Ensemble,0.2533459567883064,0.7761162810853272,2.611363019958395,0.916316802612949
