country,temperature_celsius,precip_mm,humidity,wind_kph
Marrocos,39.3,0.0,14.0,16.9
Saudi Arabien,39.3,0.0,10.0,24.5
Turkménistan,37.8,0.0,11.0,22.0
Турция,34.0,0.0,44.0,24.1
Cambodia,31.96175298804781,0.12389110225763612,60.091633466135455,13.639575033200531
United Arab Emirates,31.788063660477455,0.0003713527851458886,44.07029177718833,15.657692307692308
Qatar,31.763297872340427,0.0009441489361702128,40.773936170212764,18.59401595744681
Oman,31.58129973474801,0.004137931034482759,50.63527851458886,14.424668435013263
Thailand,31.21300597213006,0.2045056403450564,58.84406104844061,9.73457199734572
Inde,31.2,0.0,71.0,6.8
Bangladesh,31.17237715803453,0.1752058432934927,46.55511288180611,13.489774236387781
Djibouti,31.12756324900133,0.020239680426098538,56.090545938748335,16.12942743009321
Myanmar,30.931697612732094,0.3529575596816976,70.184350132626,11.045225464190981
Malaysia,30.59110225763612,0.553917662682603,68.74369189907038,6.427091633466136
Philippines,30.427224435590972,0.2935059760956175,70.35590969455511,13.514209827357238
Sri Lanka,30.23899204244032,0.4077453580901857,72.99602122015915,17.509814323607426
India,30.070079787234043,0.049281914893617024,44.340425531914896,10.512101063829787
Singapore,29.952785145888598,0.33492042440318304,69.00928381962865,13.63607427055703
Sudan,29.803393213572853,0.01279441117764471,26.753825681969396,21.51869594145043
Saudi Arabia,29.765737051792826,0.002549800796812749,20.208499335989377,15.640239043824701
火鸡,29.7,0.0,24.0,18.4
Kuwait,29.60504648074369,0.00897742363877822,28.731739707835324,17.116600265604248
Brunei Darussalam,29.52992021276596,0.45152925531914895,76.46409574468085,9.313962765957447
Bahrain,29.52214854111406,0.004270557029177719,50.88594164456234,19.09973474801061
Chad,29.2558940397351,0.03340397350993377,40.51390728476821,16.178807947019866
Niger,28.977453580901855,0.017519893899204244,40.749336870026525,17.81604774535809
Seychelles Islands,28.895206391478027,0.12266311584553928,74.66311584553928,18.410785619174433
Tuvalu,28.833023872679043,0.3043633952254642,81.45623342175067,18.347480106100797
Somalia,28.83271276595745,0.0306781914893617,75.2061170212766,26.826994680851065
Lao People's Democratic Republic,28.55,1.005,85.0,6.3
Palau,28.404122340425534,0.35404255319148936,81.08377659574468,16.65226063829787
Indonesia,28.379801324503312,0.40740397350993374,74.08675496688741,10.769403973509933
Pakistan,28.351329787234043,0.0670345744680851,31.325797872340427,9.759308510638299
Marshall Islands,28.242175066312996,0.3060742705570292,81.1710875331565,22.51114058355438
Benin,28.22124833997344,0.09416998671978752,80.50066401062416,11.305312084993359
Micronesia,28.211185086551264,0.33431424766977363,83.08388814913448,20.39906790945406
