,air_quality_carbon_monoxide,air_quality_ozone,air_quality_nitrogen_dioxide,air_quality_sulphur_dioxide,air_quality_pm2.5,air_quality_pm10,air_quality_us_epa_index,air_quality_gb_defra_index
temperature_celsius,0.004201816536498867,0.24349607454862174,-0.14925081419514555,-0.034946417808411824,0.09579518128150373,0.17688360882739385,0.09707433499401569,0.0980413741399729
humidity,-0.11744762871047304,-0.4108711440935663,-0.11227053881885683,-0.18943541558623722,-0.2776942185384971,-0.3491058531055971,-0.2840531811434491,-0.27933370513898825
wind_kph,-0.19569552245911037,0.1763269914335515,-0.17037209138191686,-0.10124621252096544,-0.05850370141681125,0.09859391505059976,-0.08244778504089963,-0.06286223610192414
pressure_mb,0.030580818235881792,-0.1347373237471438,0.08917673474285948,0.04764214248464171,-0.0007512180376386077,-0.07041473441395348,0.011804578330845401,-0.0004734057265277538
precip_mm,0.008060412678493278,-0.08996896922350035,-0.04260132312160976,-0.046028682443204655,-0.09201995525033119,-0.0988281108928748,-0.09799789056342591,-0.09102394610735867
