,latitude,longitude,last_updated_epoch,last_updated,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_carbon_monoxide,air_quality_ozone,air_quality_nitrogen_dioxide,air_quality_sulphur_dioxide,air_quality_pm2.5,air_quality_pm10,air_quality_us_epa_index,air_quality_gb_defra_index,moon_illumination
count,146760.0,146760.0,146760.0,146760,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0,146760.0
mean,19.237823227718724,21.928927807304444,1748511649.1578088,2025-05-29 11:52:13.307440,21.309141455437448,70.35821000272554,7.910582583810303,12.735559416734805,169.1593554101935,1014.04183701281,29.944039792859098,0.11505928045789042,0.004301512673753066,66.84326110656855,39.699686563096215,22.150133551376396,71.86570727718724,9.519702916325976,5.622022349414009,3.2276703461433636,11.201792041428183,18.029490242572912,417.84420946618053,57.24380417007358,14.374013308900343,9.625962158157336,22.682307873829902,41.35869444742822,1.6773712183156173,2.5620059961842463,50.18017170891251
min,-35.28,-171.73,1716387300.0,2024-05-16 01:45:00,-4.8,23.4,2.2,3.6,5.0,996.0,29.41,0.0,0.0,10.0,0.0,-9.5,14.9,0.6,0.0,0.0,2.4,3.9,81.85,1.0,0.0,0.0,0.7,1.2,1.0,1.0,0.0
25%,4.0503,-6.8361,1732265100.0,2024-11-22 04:45:00,15.9,60.6,3.8,6.1,80.0,1010.0,29.83,0.0,0.0,51.0,0.0,15.7,60.2,10.0,6.0,0.1,6.3,10.1,191.9,38.0,1.789,1.11,7.0,9.8,1.0,1.0,15.0
50%,17.25,23.2361,1748508300.0,2025-05-29 11:45:00,23.6,74.6,6.7,10.8,162.0,1013.0,29.93,0.0,0.0,72.0,28.0,25.1,77.1,10.0,6.0,1.7,9.5,15.3,283.7,54.4,5.7,2.405,13.85,19.425,1.0,2.0,50.0
75%,40.4,49.8822,1764745200.0,2025-12-03 12:15:00,27.9,82.2,11.0,17.6,256.0,1018.0,30.06,0.02,0.0,86.0,75.0,29.9,85.7,10.0,6.0,6.0,15.0,24.1,445.85,73.0,16.835,7.955,27.15,40.55,2.0,3.0,85.0
max,60.1756,178.4167,1780552800.0,2026-06-11 19:00:00,39.3,102.7,23.0,37.1,356.0,1032.0,30.47,2.11,0.08,100.0,100.0,43.3,110.0,24.0,14.0,12.9,32.6,52.44100000000035,3097.5,152.0,112.295,111.37,157.67330000000047,470.455,5.0,10.0,100.0
std,24.30366849568933,65.7188283758461,18843925.717847303,,9.314228986634408,16.763629823722756,5.021259672649453,8.078864149951933,103.48926708291462,6.652304665171551,0.19631599580014872,0.34031501946466974,0.013335098655547802,23.684887147387364,34.07192071810919,11.194699733220016,20.14963870054158,2.6578645074679526,1.670103324514106,3.4933420758475195,6.723601395309599,10.819420714578511,451.5553603217595,28.988763861005978,21.397308036819034,18.887832103118374,26.667963186185794,68.84118714631586,0.9180279020191217,2.414035192439022,35.02701667166661
